Timestamp,Detected_Object,Severity,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,Source
2026-02-22 18:04:48.606901,smoke,High,0.909,32,15,459,571,Video
2026-02-22 18:04:49.007782,smoke,Medium,0.891,25,17,457,602,Video
2026-02-22 18:04:49.012342,fire,Low,0.504,415,726,447,747,Video
2026-02-22 18:04:49.413927,smoke,Medium,0.891,24,16,457,594,Video
2026-02-22 18:04:49.418965,fire,Low,0.598,417,736,457,754,Video
2026-02-22 18:04:49.429022,fire,Low,0.594,156,562,246,649,Video
2026-02-22 18:04:49.848154,smoke,Medium,0.885,22,16,456,596,Video
2026-02-22 18:04:50.244506,smoke,Medium,0.86,23,16,454,594,Video
2026-02-22 18:04:50.657533,smoke,Medium,0.891,29,16,456,606,Video
2026-02-22 18:04:51.066158,smoke,Medium,0.875,23,16,454,602,Video
2026-02-22 18:04:51.487022,smoke,Medium,0.9,24,15,460,592,Video
2026-02-22 18:04:51.891791,smoke,High,0.902,26,17,453,618,Video
2026-02-22 18:04:51.897161,fire,Low,0.692,440,780,476,799,Video
2026-02-22 18:04:52.307630,smoke,Medium,0.896,26,17,453,613,Video
2026-02-22 18:04:52.711437,smoke,Medium,0.895,23,16,454,637,Video
2026-02-22 18:04:53.128040,smoke,Medium,0.889,23,15,455,646,Video
2026-02-22 18:04:53.523687,smoke,Medium,0.88,27,11,457,651,Video
2026-02-22 18:04:53.930221,smoke,Medium,0.889,24,15,461,657,Video
2026-02-22 18:04:54.344480,smoke,Medium,0.894,21,11,455,662,Video
2026-02-22 18:04:54.778900,smoke,Medium,0.884,25,12,456,672,Video
2026-02-22 18:04:54.783962,fire,Low,0.596,107,489,144,551,Video
2026-02-22 18:04:55.225297,smoke,Medium,0.881,20,11,455,674,Video
2026-02-22 18:04:55.229331,fire,Low,0.573,229,690,322,752,Video
2026-02-22 18:04:55.672263,smoke,Medium,0.891,19,14,453,665,Video
2026-02-22 18:04:55.677427,fire,Low,0.641,116,504,153,564,Video
2026-02-22 18:04:56.100537,smoke,Medium,0.887,19,15,453,666,Video
2026-02-22 18:04:56.105629,fire,Medium,0.802,235,694,352,794,Video
2026-02-22 18:04:56.110215,fire,Low,0.708,120,511,160,572,Video
2026-02-22 18:04:56.523466,smoke,Medium,0.894,23,14,455,667,Video
2026-02-22 18:04:56.528961,fire,Medium,0.805,238,698,353,800,Video
2026-02-22 18:04:56.535425,fire,Low,0.676,124,516,165,580,Video
2026-02-22 18:04:56.545118,fire,Low,0.5,51,339,143,421,Video
2026-02-22 18:04:56.952594,smoke,Medium,0.866,18,16,453,659,Video
2026-02-22 18:04:56.957714,fire,Low,0.733,245,707,357,806,Video
2026-02-22 18:04:56.962313,fire,Low,0.546,129,523,169,584,Video
2026-02-22 18:04:57.374245,smoke,Medium,0.868,21,14,456,652,Video
2026-02-22 18:04:57.378877,fire,Low,0.714,133,530,175,591,Video
2026-02-22 18:04:57.811263,smoke,Medium,0.882,34,14,454,713,Video
2026-02-22 18:04:58.229969,smoke,Medium,0.865,24,15,455,712,Video
2026-02-22 18:04:58.654695,smoke,Medium,0.876,23,14,457,717,Video
2026-02-22 18:04:58.660427,fire,Low,0.777,39,348,95,378,Video
2026-02-22 18:04:59.081569,smoke,Medium,0.888,26,14,453,718,Video
2026-02-22 18:04:59.085850,fire,Low,0.785,271,751,390,838,Video
2026-02-22 18:04:59.093429,fire,Low,0.664,97,387,168,448,Video
2026-02-22 18:04:59.549032,smoke,Medium,0.886,26,17,454,719,Video
2026-02-22 18:04:59.555589,fire,Low,0.706,274,751,380,842,Video
2026-02-22 18:04:59.561302,fire,Low,0.704,30,211,76,287,Video
2026-02-22 18:05:00.002693,smoke,Medium,0.821,26,17,454,721,Video
2026-02-22 18:05:00.008126,fire,Low,0.791,274,752,381,842,Video
2026-02-22 18:05:01.158367,smoke,Medium,0.852,28,17,454,723,Video
2026-02-22 18:05:01.163485,fire,Low,0.764,276,755,386,843,Video
2026-02-22 18:05:01.170477,fire,Low,0.519,37,222,81,298,Video
2026-02-22 18:05:01.710069,smoke,Low,0.788,34,17,455,732,Video
2026-02-22 18:05:01.720389,fire,Low,0.708,281,761,390,845,Video
2026-02-22 18:05:02.742726,fire,Low,0.789,285,765,392,840,Video
2026-02-22 18:05:02.750292,smoke,Low,0.766,53,17,456,723,Video
2026-02-22 18:05:03.204086,smoke,Medium,0.82,30,15,454,543,Video
2026-02-22 18:05:03.210457,fire,Low,0.523,121,427,200,556,Video
2026-02-22 18:05:03.641118,smoke,Low,0.768,41,17,455,737,Video
2026-02-22 18:05:04.091358,smoke,Medium,0.864,28,14,453,554,Video
2026-02-22 18:05:04.096893,fire,Low,0.783,55,238,100,307,Video
2026-02-22 18:05:04.505655,smoke,Medium,0.843,22,15,454,555,Video
2026-02-22 18:05:04.511419,fire,Low,0.789,59,241,104,311,Video
2026-02-22 18:05:05.644217,smoke,High,0.912,28,15,456,563,Video
2026-02-22 18:05:05.647929,fire,Low,0.515,258,714,297,761,Video
2026-02-22 18:05:06.152896,smoke,Low,0.799,37,13,461,654,Video
2026-02-22 18:05:06.157200,fire,Low,0.696,67,250,111,323,Video
2026-02-22 18:05:06.584051,smoke,High,0.909,24,13,461,568,Video
2026-02-22 18:05:06.589060,fire,Low,0.785,61,361,122,424,Video
2026-02-22 18:05:07.037539,smoke,Medium,0.857,43,14,459,587,Video
2026-02-22 18:05:07.043166,fire,Low,0.756,73,258,116,327,Video
2026-02-22 18:05:07.542175,smoke,Medium,0.821,53,13,456,606,Video
2026-02-22 18:05:07.546506,fire,Low,0.689,75,261,120,335,Video
2026-02-22 18:05:07.552050,fire,Low,0.57,277,747,389,847,Video
2026-02-22 18:05:07.993469,smoke,Medium,0.828,24,15,455,616,Video
